School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
L.A. County High School for the Arts,77.63,91.27,13.64,41.67,55.12,13.45,1
Richard M. Moon Primary,40.48,33.86,-6.62,33.33,31.5,-1.83,1
Health Careers Academy,59.22,77.17,17.95,14.56,34.65,20.09,1
College Elementary School District,62.69,68.25,5.56,53.38,50.39,-2.99,0
Cypress Elementary,68.89,72.44,3.55,63.7,69.84,6.14,1
Toyon Elementary,16.53,34.92,18.39,17.36,23.02,5.66,1
Topanga Elementary Charter,74.45,73.23,-1.22,75.91,63.78,-12.13,1
Yukon Elementary,60.94,59.06,-1.88,57.36,62.2,4.84,1
Learning in an Urban Community with High Achievement (L.U.C.H.A.),37.67,40.16,2.49,36.99,44.88,7.89,1
Wilson Elementary,27.14,32.28,5.14,23.4,19.05,-4.35,1
Elysian Heights Elementary,31.5,38.1,6.6,20.47,33.86,13.39,1
Cyril Spinelli Elementary,50.76,45.16,-5.6,38.35,36.22,-2.13,1
Mt. George International,59.68,62.2,2.52,58.87,57.48,-1.39,1
Garden Park Elementary,74.07,63.78,-10.29,55.56,54.33,-1.23,1
John D. Sloat Elementary,9.84,11.2,1.36,5.79,7.87,2.08,1
Sunset Elementary,49.62,48.03,-1.59,40.91,37.8,-3.11,1
Santa Ynez Elementary,62.69,68.25,5.56,53.38,50.39,-2.99,1
Pasadena Rosebud Academy,48.31,42.52,-5.79,38.98,35.71,-3.27,1
Crossroads Charter,21.88,24.41,2.53,3.91,7.94,4.03,1
California City High,44.76,53.97,9.21,14.29,16.67,2.38,1
Middletown High,53.15,57.14,3.99,18.92,20,1.08,1
Butterfield Charter High,16.44,35.48,19.04,1.59,3.23,1.64,1
Aragon Avenue Elementary,19.21,15.87,-3.34,14.57,7.94,-6.63,1
Walnut Elementary,51.85,46.15,-5.7,39.26,36.51,-2.75,1
Belle Air Elementary,15.83,15.87,0.04,20.83,14.29,-6.54,1
Rosewood Avenue Elementary,58.1,46.83,-11.27,37.74,28.57,-9.17,1
Heritage Elementary,66.94,73.81,6.87,60.48,63.49,3.01,1
Village,80.65,74.6,-6.05,72,74.6,2.6,1
Rise Community,7.76,12,4.24,4.2,7.94,3.74,1
Village Charter Academy,44.86,40.48,-4.38,36.79,33.33,-3.46,1
Achieve Charter School of Paradise Inc.,51.9,43.65,-8.25,47.1,40.48,-6.62,1
Shandon Elementary,36.15,25.6,-10.55,21.71,23.81,2.1,1
Mountain Valley Academy,71.84,71.54,-0.3,64.42,58.06,-6.36,1
Pond Union Elementary School District,48.48,40.32,-8.16,31.82,29.37,-2.45,0
Pond Elementary,48.48,40.32,-8.16,31.82,29.37,-2.45,1
STEM Academy at Bernstein High,78.33,63.2,-15.13,33.88,36.36,2.48,1
Harmony Magnet Academy,90.27,90.4,0.13,53.98,56,2.02,1
Lynwood Elementary,46.89,25.6,-21.29,41.67,18.4,-23.27,1
Emerson Elementary,15.87,13.71,-2.16,12.5,9.92,-2.58,1
Field Elementary,37.17,43.55,6.38,40,49.6,9.6,1
Washington Elementary,58.47,40.16,-18.31,47.86,38.02,-9.84,1
Serra (Junipero) Elementary,39.85,33.87,-5.98,39.1,30.4,-8.7,1
Alta Mesa Elementary,30.08,38.4,8.32,28.46,33.6,5.14,1
Slover Mountain High (Continuation),5.19,10.4,5.21,0,0,0,1
Orangewood High (Continuation),16.13,14.52,-1.61,1.08,0,-1.08,1
Fall River Junior-Senior High,63.16,47.2,-15.96,64.91,60,-4.91,1
Hawthorne Elementary,52.43,69.6,17.17,49.51,65.6,16.09,1
Annalee Avenue Elementary,22.12,37.6,15.48,14.29,28,13.71,1
Central Gaither Elementary,28.78,38.71,9.93,22.3,22.4,0.1,1
Chawanakee Academy Charter,40.58,36.59,-3.99,12.86,16.8,3.94,1
Dogwood Elementary,64.29,56.67,-7.62,56.35,56.45,0.1,1
Animo Ralph Bunche Charter High,50,46.77,-3.23,15.38,17.21,1.83,1
Yreka High,71.74,72.58,0.84,46.27,30.33,-15.94,1
Helen M. Wilcox Elementary,25.83,33.87,8.04,32.5,30.65,-1.85,1
Live Oak High,68.25,67.48,-0.77,27.78,29.84,2.06,1
Ednovate - USC Hybrid High,67.91,68.55,0.64,48.15,50,1.85,1
Joseph R. Perry Elementary,57.89,54.84,-3.05,48.48,55.65,7.17,1
March Mountain High,8.84,16.94,8.1,0.7,0,-0.7,1
Yosemite High (Continuation),7.69,14.52,6.83,0,0,0,1
Tierra Del Sol Continuation High,0,4.67,4.67,0,0.83,0.83,1
Stonehurst Avenue Elementary,47.15,48.39,1.24,39.34,30.65,-8.69,1
Peabody (George) Elementary,86.07,87.1,1.03,85.37,81.45,-3.92,1
Playa del Rey Elementary,79.84,79.84,0,65.32,59.68,-5.64,1
Boron Junior-Senior High,23.26,34.68,11.42,16.28,20.97,4.69,1
Sanchez Elementary,14.68,17.65,2.97,12.84,11.29,-1.55,1
ASA Charter,18.09,31.45,13.36,3.23,11.38,8.15,1
Butte Valley Elementary,37.69,31.71,-5.98,25.95,29.84,3.89,1
Monte Vista,44.44,38.71,-5.73,18.1,11.71,-6.39,1
Juniper,31.97,27.64,-4.33,19.51,16.13,-3.38,1
Antioch Charter Academy,58.54,62.1,3.56,36.59,40.32,3.73,1
Applied Technology Center,56.2,67.21,11.01,9.09,24.39,15.3,1
Imperial Elementary,39.39,56.1,16.71,46.21,59.35,13.14,1
Lafayette Elementary,22.38,15.57,-6.81,22.54,18.7,-3.84,1
Norman G. Ambrosini Elementary,44.8,42.28,-2.52,39.2,38.21,-0.99,1
Quincy Junior/Senior High,45.19,50.41,5.22,33.58,28.46,-5.12,1
Holmes Avenue Elementary,13.93,13.11,-0.82,13.11,16.24,3.13,1
Manzanita Elementary,60.22,54.92,-5.3,41.49,41.46,-0.03,1
Geyserville Unified School District,46.51,46.28,-0.23,33.33,37.4,4.07,0
El Camino Elementary,42.97,45.9,2.93,41.54,41.46,-0.08,1
Johnstonville Elementary School District,42.54,53.28,10.74,29.1,37.4,8.3,0
Johnstonville Elementary,42.54,53.28,10.74,29.1,37.4,8.3,1
Houston,29.05,22.31,-6.74,17.33,13.01,-4.32,1
Lake Elementary School District,54.7,65.04,10.34,49.57,60.16,10.59,0
Lake Elementary,54.7,65.04,10.34,49.57,60.16,10.59,1
Crescent Valley Public Charter II,15.96,19.83,3.87,0,0.81,0.81,1
John Swett High,51,64.75,13.75,29.29,35.25,5.96,1
Holtville High,55.07,53.28,-1.79,37.68,37.7,0.02,1
Millennium Charter,50.77,70.49,19.72,30.77,37.7,6.93,1
Fort Bragg High,50.56,58.2,7.64,32.58,26.23,-6.35,1
Weathersfield Elementary,65.94,78.69,12.75,61.59,68.03,6.44,1
Summit High (Continuation),32.19,40.16,7.97,0.69,0.82,0.13,1
Barron Park Elementary,56.91,69.42,12.51,52.31,71.31,19,1
Los Robles Academy,44.85,46.67,1.82,32.35,34.71,2.36,1
Cambria Grammar,34.88,32.79,-2.09,37.98,31.97,-6.01,1
Valley Vista High (Continuation),12.5,12.39,-0.11,2.72,0,-2.72,1
Global Education Academy,62.39,60.66,-1.73,60.68,65.57,4.89,1
Scotia Union Elementary School District,40.15,50,9.85,33.58,45.83,12.25,0
Stanwood A. Murphy Elementary,40.15,50,9.85,33.58,45.83,12.25,1
Hydesville Elementary School District,58.73,50.82,-7.91,50.4,45.9,-4.5,0
Hydesville Elementary,58.73,50.82,-7.91,50.4,45.9,-4.5,1
Hayfork Valley Elementary,36.51,42.62,6.11,37.8,44.26,6.46,1
Chicago Park Elementary School District,45.16,51.64,6.48,42.74,42.62,-0.12,0
Big Springs Union Elementary School District,43.9,42.15,-1.75,36.89,41.8,4.91,0
Big Springs Elementary,43.9,42.15,-1.75,36.89,41.8,4.91,1
American River Charter,51.33,57.38,6.05,38.39,33.06,-5.33,1
Santa Lucia Middle,63.01,64.75,1.74,45.89,47.54,1.65,1
West Marin Elementary,45.83,47.54,1.71,31.71,27.05,-4.66,1
Creekside Charter,82.5,83.61,1.11,77.5,83.61,6.11,1
Bright Star Secondary Charter Academy,65.81,59.32,-6.49,29.66,15.7,-13.96,1
Pacific View Leadership Elementary,49.64,43.8,-5.84,40.58,42.98,2.4,1
Webster Elementary,78.08,76.03,-2.05,75.34,69.17,-6.17,1
Elk Grove Charter,42.48,37.82,-4.66,13.16,9.92,-3.24,1
E. L. Musick Elementary,38.51,38.33,-0.18,31.06,38.02,6.96,1
Hoover Elementary,7.83,17.09,9.26,9.17,12.4,3.23,1
Kinetic Academy,63.71,75.21,11.5,58.87,71.07,12.2,1
Black Diamond High (Continuation),0,2.5,2.5,0,0,0,1
Santa Ynez Valley Charter,69.12,75.21,6.09,43.38,52.89,9.51,1
Delta Bridges Charter,13.22,14.05,0.83,4.96,9.09,4.13,1
Lucerne Valley Middle,29.25,27.27,-1.98,13.08,17.36,4.28,1
Animo Watts College Preparatory Academy,41.41,47.9,6.49,9.3,9.17,-0.13,1
"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",64.14,67.5,3.36,27.78,26.67,-1.11,1
Cesar E. Chavez Learning Academies-Social Justice Humanitas Academy,64.15,71.67,7.52,25.23,15.97,-9.26,1
Westport Heights Elementary,41.01,46.67,5.66,28.06,34.17,6.11,1
John Muir Elementary,47.06,55.83,8.77,34.4,42.5,8.1,1
El Camino High (Continuation),3.45,7.5,4.05,0.84,0,-0.84,1
Knolls Elementary,45.93,44.17,-1.76,33.33,28.33,-5,1
Malaga Elementary,56.78,42.5,-14.28,47.9,36.67,-11.23,1
Sixth Street Prep,74.19,75,0.81,72.58,70,-2.58,1
Georgetown Elementary,20,21.67,1.67,23.26,15,-8.26,1
Douglas City Elementary School District,66.09,68.33,2.24,73.04,73.95,0.91,0
Douglas City Elementary,66.09,68.33,2.24,73.04,73.95,0.91,1
Wegeforth Elementary,34.38,35.83,1.45,39.39,39.5,0.11,1
Alliance Piera Barbaglia Shaheen Health Services Academy,40.18,46.22,6.04,10.62,23.53,12.91,1
Grizzly ChalleNGe Charter,5.61,16.95,11.34,0,0,0,1
Parker (Jean) Elementary,40.54,43.7,3.16,58.18,58.82,0.64,1
Arroyo Elementary,36.3,40.17,3.87,14.81,19.49,4.68,1
Trinidad Union Elementary School District,52.46,57.98,5.52,41.8,44.54,2.74,0
Trinidad Union,52.46,57.98,5.52,41.8,44.54,2.74,1
Westside Elementary School District,10.22,22.22,12,10,11.02,1.02,0
High Tech High,58.2,58.47,0.27,28.46,22.03,-6.43,1
Yuba County Office of Education,14.16,16.1,1.94,3.45,0.86,-2.59,0
Emmerton Elementary,28.32,30.77,2.45,34.21,24.58,-9.63,1
Insight School of California,26.98,20.51,-6.47,1.6,0.87,-0.73,1
Taylion High Desert Academy/Adelanto,16.23,16.24,0.01,2.11,5.22,3.11,1
Mary Peacock Elementary,35.33,41.53,6.2,24,27.35,3.35,1
"Martin Luther King, Jr. Elementary",22.22,18.42,-3.8,31.94,30.51,-1.43,1
Clyde Arbuckle Elementary,18.52,16.67,-1.85,8.89,6.78,-2.11,1
Grayson Elementary,38.68,43.22,4.54,27.78,28.81,1.03,1
Grass Valley Elementary,20.41,13.68,-6.73,22.45,15.25,-7.2,1
Enadia Way Technology Charter,46.02,52.54,6.52,34.51,44.92,10.41,1
Westside Elementary,10.22,22.22,12,10,11.02,1.02,1
Plymouth Elementary,53.7,55.08,1.38,36.11,38.14,2.03,1
Columbine Elementary School District,69.17,64.41,-4.76,60.83,56.78,-4.05,0
Columbine Elementary,69.17,64.41,-4.76,60.83,56.78,-4.05,1
Pleasant Grove Joint Union School District,56.8,61.86,5.06,56.8,53.39,-3.41,0
Pleasant Grove,56.8,61.86,5.06,56.8,53.39,-3.41,1
Hillview High (Continuation),16.09,9.32,-6.77,2.33,0,-2.33,1
Trinity Valley Elementary,21.26,25.42,4.16,14.96,20.34,5.38,1
Newcastle Elementary,52.94,49.15,-3.79,42.5,42.37,-0.13,1
Union Hill Middle,60.87,45.76,-15.11,54.46,53.04,-1.42,1
Synergy Quantum Academy,57.52,65.81,8.29,26.36,26.96,0.6,1
Alliance Renee and Meyer Luskin Academy High,56.62,47.01,-9.61,28.68,31.62,2.94,1
Gateway High,54.21,59.48,5.27,35.71,39.32,3.61,1
University High,99.16,98.29,-0.87,92.37,87.18,-5.19,1
Aspire Benjamin Holt College Preparatory Academy,88.89,83.62,-5.27,62.92,69.03,6.11,1
Charnock Road Elementary,42.5,41.03,-1.47,35.48,41.38,5.9,1
Thelma B. Bedell Elementary,43.97,47.86,3.89,46.1,47.86,1.76,1
Burckhalter Elementary,36.97,25,-11.97,28.93,28.21,-0.72,1
Vista Continuation High,1.01,5.45,4.44,0,0.9,0.9,1
Burney Junior-Senior High,31.3,32.76,1.46,23.28,35.04,11.76,1
Ednovate - USC East College Prep,65.48,63.79,-1.69,34.52,35.9,1.38,1
Paragon Collegiate Academy,37.19,37.61,0.42,28.69,16.24,-12.45,1
Minnie Cannon Elementary,33.66,43.97,10.31,24.75,29.06,4.31,1
Mark West Charter,70.34,68.38,-1.96,55.08,58.97,3.89,1
Samueli Academy,83.47,62.93,-20.54,52.59,34.78,-17.81,1
Valor Academy High,36.07,40,3.93,21.49,18.1,-3.39,1
Aspire Capitol Heights Academy,27.5,24.14,-3.36,20.66,16.38,-4.28,1
Sierra Vista Elementary,53.08,48.28,-4.8,41.22,37.07,-4.15,1
Silverado High,7.25,12.93,5.68,0,0.86,0.86,1
Pescadero Elementary and Middle,36.67,31.9,-4.77,16.67,18.1,1.43,1
Clear Creek Elementary School District,66.95,60,-6.95,61.02,54.31,-6.71,0
Clear Creek Elementary,66.95,60,-6.95,61.02,54.31,-6.71,1
Camp Lockett Middle,29.17,24.14,-5.03,13.89,12.93,-0.96,1
Liberty Elementary School District,86.44,80,-6.44,88.14,83.48,-4.66,0
Riviera Elementary,30.51,26.96,-3.55,27.73,19.13,-8.6,1
Romero Elementary,25.6,31.3,5.7,25.6,22.61,-2.99,1
Stone Bridge,59.28,69.57,10.29,33.54,51.75,18.21,1
Lincoln Elementary,42.74,40,-2.74,40.17,34.78,-5.39,1
South Hillsborough,87.13,89.57,2.44,82.35,89.57,7.22,1
Oasis Charter Public,15.53,26.09,10.56,16.35,16.52,0.17,1
Liberty Elementary,86.44,80,-6.44,88.14,83.48,-4.66,1
Shiloh Elementary School District,46.3,44.74,-1.56,45.37,43.48,-1.89,0
Miranda Junior High,39.32,46.09,6.77,21.37,31.3,9.93,1
Shiloh Charter,46.3,44.74,-1.56,45.37,43.48,-1.89,1
Edward Kemble Elementary,36.22,30.09,-6.13,40.63,34.21,-6.42,1
Kelseyville High,43.12,42.11,-1.01,12.15,13.16,1.01,1
Le Grand High,49.38,45.95,-3.43,31.71,32.46,0.75,1
Oakland Charter High,83.49,64.04,-19.45,59.63,49.12,-10.51,1
Stoner Avenue Elementary,33.33,28.07,-5.26,19.69,34.21,14.52,1
Mt. Everest Academy,80.18,85.96,5.78,77.06,75,-2.06,1
Bess Maxwell Elementary,27.83,30.7,2.87,26.96,28.07,1.11,1
Cuyama Joint Unified School District,34.38,34.82,0.44,16.67,22.81,6.14,0
Grove,68.1,72.81,4.71,39.66,52.63,12.97,1
Cayucos Elementary School District,62.68,65.79,3.11,50.7,54.39,3.69,0
Cayucos Elementary,62.68,65.79,3.11,50.7,54.39,3.69,1
New Hope Elementary School District,44.19,41.23,-2.96,24.81,17.54,-7.27,0
New Hope Elementary,44.19,41.23,-2.96,24.81,17.54,-7.27,1
Cesar Chavez Elementary,18.97,26.36,7.39,11.97,16.67,4.7,1
Merced River Union Elementary School District,42.31,43.86,1.55,24.27,28.95,4.68,0
Washington Elementary,42.31,43.86,1.55,24.27,28.95,4.68,1
Lake Don Pedro Elementary,36.8,45.61,8.81,30.95,35.96,5.01,1
Argus High (Continuation),8.26,12.28,4.02,1.83,0,-1.83,1
Manzanita Middle,30.71,26.32,-4.39,14.96,15.79,0.83,1
KIPP San Jose Collegiate,70.8,69.64,-1.16,56.64,53.57,-3.07,1
Willows High,38.74,51.33,12.59,5.41,15.18,9.77,1
South Fortuna Elementary,28.93,33.93,5,22.13,30.09,7.96,1
Rollingwood Elementary,54.74,45.95,-8.79,35.05,30.97,-4.08,1
KIPP Promesa Prep,,72.57,,,73.45,,1
Sonoma County Office of Education,4.44,8.04,3.6,1.18,1.82,0.64,0
Bishop Union High,46.27,66.07,19.8,36.84,35.71,-1.13,1
John Gill Elementary,43.36,45.54,2.18,37.72,46.43,8.71,1
Magnolia Science Academy 7,50.33,44.55,-5.78,33.33,32.14,-1.19,1
Cresson Elementary,58.82,58.93,0.11,47.06,52.68,5.62,1
New Traditions Elementary,72.65,66.96,-5.69,66.09,57.27,-8.82,1
Toler Elementary,66.67,63.96,-2.71,55.56,62.5,6.94,1
NAVA College Preparatory Academy,53.62,37.84,-15.78,3.68,14.55,10.87,1
Canoas Elementary,53.28,51.82,-1.46,33.6,35.14,1.54,1
Monterey County Home Charter,42.42,47.75,5.33,12.31,14.68,2.37,1
Marshall Elementary,38.33,36.04,-2.29,21.85,18.18,-3.67,1
Tulelake Basin Elementary,31.15,33.33,2.18,18.03,17.27,-0.76,1
La Sierra High,10.81,11.71,0.9,1.79,4.5,2.71,1
Ducor Union Elementary School District,21.9,14.55,-7.35,10.48,3.6,-6.88,0
Ducor Union Elementary,21.9,14.55,-7.35,10.48,3.6,-6.88,1
Reeds Creek Elementary School District,37.86,37.84,-0.02,25.24,27.03,1.79,0
Reeds Creek Elementary,37.86,37.84,-0.02,25.24,27.03,1.79,1
Los Olivos Elementary School District,74.26,70.27,-3.99,62.38,61.26,-1.12,0
Los Olivos Elementary,74.26,70.27,-3.99,62.38,61.26,-1.12,1
Marina High,61.94,49.09,-12.85,38.35,28.18,-10.17,1
McKinleyville High,58.4,63.3,4.9,35.48,32.73,-2.75,1
Saint Helena High,92.66,87.27,-5.39,42.73,42.2,-0.53,1
Camino Nuevo High #2,42.34,65.45,23.11,3.6,15.45,11.85,1
Leapwood Avenue Elementary,35.29,34.55,-0.74,27.12,18.18,-8.94,1
Horizon,43.69,56.88,13.19,16.35,20,3.65,1
Grand Oaks Elementary,32.69,25.45,-7.24,30.77,30,-0.77,1
Somerset Continuation High,14.89,13.59,-1.3,1.05,0,-1.05,1
Chester Elementary,52.94,55.45,2.51,42.37,47.27,4.9,1
Montague Elementary School District,28.89,27.27,-1.62,23.33,22.73,-0.6,0
Montague Elementary,28.89,27.27,-1.62,23.33,22.73,-0.6,1
Jamul Intermediate,43.36,44.95,1.59,37.17,35.45,-1.72,1
Central Valley High,65.38,60.55,-4.83,41.86,41.35,-0.51,1
Academy of Medical Arts at Carson High,77.88,72.48,-5.4,30.77,27.52,-3.25,1
Prospects High (Alternative),32.84,22.94,-9.9,8.33,6.6,-1.73,1
Gabilan Hills,36.23,27.52,-8.71,23.36,18.35,-5.01,1
Lagunitas Elementary School District,60.67,64.22,3.55,29.55,41.51,11.96,0
Altadena Elementary,25.83,37.61,11.78,22.5,24.77,2.27,1
Terry Elementary,41.53,43.52,1.99,24.17,24.77,0.6,1
ICEF Innovation Los Angeles Charter,26.92,18.35,-8.57,24.04,32.11,8.07,1
Nord Country,50,57.8,7.8,45.45,47.71,2.26,1
Mariposa County High,66.17,59.26,-6.91,34.85,44.44,9.59,1
James M. Burchfield Primary,45.36,55.56,10.2,45.36,50,4.64,1
Summit Preparatory Charter High,78.49,67.59,-10.9,39.78,32.41,-7.37,1
Alliance Ted K. Tajima High,83.61,75,-8.61,55,53.7,-1.3,1
Wilmar Union Elementary School District,64.1,78.7,14.6,60.68,76.85,16.17,0
Wilson Elementary,64.1,78.7,14.6,60.68,76.85,16.17,1
Pioneer Technical Center,4.35,12.96,8.61,0,0,0,1
Banning Independent Study,13.08,16.82,3.74,0.77,2.83,2.06,1
Hoover Elementary,85.32,92.59,7.27,85.32,92.59,7.27,1
John Muir Charter,4.73,5.66,0.93,0,0.99,0.99,1
Avenal High,32.86,42.99,10.13,5.71,14.02,8.31,1
Healdsburg High,63.1,38.32,-24.78,39.02,20,-19.02,1
Ward Elementary,63.16,63.55,0.39,65.26,61.68,-3.58,1
Yorkdale Elementary,55.1,57.01,1.91,44.9,42.99,-1.91,1
Bonny View Elementary,44.95,49.53,4.58,39.45,45.79,6.34,1
Biola-Pershing Elementary,40.71,43.93,3.22,28.32,33.64,5.32,1
Glen Alta Elementary,42.59,37.38,-5.21,30.56,35.51,4.95,1
Cantua Elementary,23.42,30.19,6.77,23.64,23.36,-0.28,1
Robertson High (Continuation),14.63,28.85,14.22,4.94,4.72,-0.22,1
Petaluma Accelerated Charter,95.19,95.33,0.14,94.23,97.2,2.97,1
Alliance Cindy and Bill Simon Technology Academy High,62.88,71.7,8.82,18.94,24.53,5.59,1
Maidu Elementary,61.48,64.76,3.28,57.38,71.7,14.32,1
Kern Valley High,35.42,42.45,7.03,12.12,20.19,8.07,1
Ladera Palma Elementary,,36.79,,,33.96,,1
Vernon City Elementary,47.9,46.23,-1.67,36.13,37.74,1.61,1
W. R. Powell Elementary,44.68,40,-4.68,40.43,32.08,-8.35,1
Denair Charter Academy,18.52,23.08,4.56,4.63,4.72,0.09,1
Anderson Valley Junior-Senior High,50.85,58.49,7.64,21.37,28.57,7.2,1
University Preparatory Value High,61.54,39.05,-22.49,18.27,14.15,-4.12,1
Soto Street Elementary,30,30.77,0.77,25.45,39.62,14.17,1
El Nido Elementary School District,30.17,36.79,6.62,18.1,24.53,6.43,0
El Nido Elementary,30.17,36.79,6.62,18.1,24.53,6.43,1
East Lake,12.35,13.46,1.11,2.47,3.77,1.3,1
Public Policy Charter,19.55,23.08,3.53,3.65,19.81,16.16,1
California School of the Arts - San Gabriel Valley,89.41,83.02,-6.39,48.24,33.65,-14.59,1
Wallis Annenberg High,69.57,55.24,-14.33,17.2,8.82,-8.38,1
Nuestro Elementary School District,72.09,60.95,-11.14,56.98,47.62,-9.36,0
Harvest Ridge Cooperative Charter/Placer Academy,68.46,71.43,2.97,56.23,54.29,-1.94,1
Renaissance High School for the Arts,69.07,58.25,-10.82,20.62,14.42,-6.2,1
Esteban Torres East LA Performing Arts Magnet,53.97,45.71,-8.26,16.39,13.33,-3.06,1
Stockton Unified Early College Academy,82.18,92.38,10.2,61.39,67.62,6.23,1
Downtown College Preparatory,27.38,37.86,10.48,5.88,5.71,-0.17,1
Warren Lane Elementary,20.77,18.1,-2.67,14.5,5.71,-8.79,1
Mupu Elementary School District,58.33,53.85,-4.48,41.67,36.89,-4.78,0
Mupu Elementary,58.33,53.85,-4.48,41.67,36.89,-4.78,1
Descanso Elementary,70.13,61.9,-8.23,58.44,55.24,-3.2,1
Nuestro Elementary,72.09,60.95,-11.14,56.98,47.62,-9.36,1
USC College Prep Santa Ana Campus,,60,,,33.98,,1
Julian Junior High,43.01,38.1,-4.91,36.17,35.24,-0.93,1
East Valley Senior High,22.56,38,15.44,2.27,6.73,4.46,1
Performing Arts Community at Diego Rivera Learning Complex,39.53,42.31,2.78,13.18,18.45,5.27,1
Tranquillity High,21.95,35.58,13.63,6.84,8.65,1.81,1
Nova Academy,70,65.38,-4.62,28,33.01,5.01,1
Fair Oaks Elementary,21.98,15.53,-6.45,22.47,21.15,-1.32,1
Yick Wo Elementary,66.67,79.61,12.94,72.32,79.81,7.49,1
Avalon Gardens Elementary,38.32,27.88,-10.44,23.36,26.92,3.56,1
Amistad High (Continuation),5.69,11.54,5.85,0,0,0,1
Albert A. Michelson Elementary,58.1,58.65,0.55,51.43,51.92,0.49,1
Northcoast Preparatory and Performing Arts Academy,81.19,77.88,-3.31,47.52,46.6,-0.92,1
Accelerated Charter High,7.95,6.73,-1.22,1.15,0,-1.15,1
Public Service Community at Diego Rivera Learning Complex,63.78,43.69,-20.09,21.26,26,4.74,1
Greenhills Elementary,81.03,78.64,-2.39,79.31,83.5,4.19,1
Fletcher Drive Elementary,34.15,32.04,-2.11,21.82,35.29,13.47,1
John Muir,53.79,38.83,-14.96,40.41,34.31,-6.1,1
Pinewood Avenue Elementary,37.01,30.69,-6.32,26.15,29.13,2.98,1
Fenton Charter Leadership Academy,44.44,51.46,7.02,35.56,45.63,10.07,1
Mountain View High,16.52,22.77,6.25,0,0,0,1
Inyokern Elementary,36.84,30.1,-6.74,25.26,26.21,0.95,1
Raincross High (Continuation),8.57,0.97,-7.6,0,0,0,1
San Antonio Elementary,49.4,30.1,-19.3,30.12,20.39,-9.73,1
Tierra Pacifica Charter,66.02,65.05,-0.97,73.79,74.26,0.47,1
Charter Home School Academy,33.33,31.07,-2.26,12.05,13.73,1.68,1
Warner Unified School District,24.36,31.68,7.32,15.38,18.63,3.25,0
Alliance Leichtman-Levine Family Foundation Environmental Science High,65.38,82.35,16.97,30.95,39.22,8.27,1
Augustus F. Hawkins High B Community Health Advocates,27.71,19.61,-8.1,2.38,3.92,1.54,1
Harbor Teacher Preparation Academy,93.44,96.08,2.64,77.05,85.29,8.24,1
Latino College Preparatory Academy,26.32,38.24,11.92,4.21,22,17.79,1
Summit Public School: Shasta,83.17,86.27,3.1,59.41,69.61,10.2,1
New Technology High,60.4,70.59,10.19,29.7,25.74,-3.96,1
North Tahoe High,66,48.04,-17.96,50,46,-4,1
Marlton,16.98,12.75,-4.23,10.38,3.92,-6.46,1
Orchard View,73.83,65.69,-8.14,46.53,45.54,-0.99,1
Brockton Avenue Elementary,30.21,28,-2.21,29.59,31.37,1.78,1
Hughes-Elizabeth Lakes Union Elementary School District,52.53,57.84,5.31,40.4,36.27,-4.13,0
Hughes-Elizabeth Lakes,52.53,57.84,5.31,40.4,36.27,-4.13,1
Rocklin Academy at Meyers Street,69.44,77.45,8.01,74.07,68.63,-5.44,1
Sierra High,9.09,7.07,-2.02,0,1.03,1.03,1
Cuyama Elementary,35.96,37,1.04,17.98,25.49,7.51,1
Wildflower Open Classroom,54.84,60.78,5.94,35.48,42.16,6.68,1
Williams Ranch Elementary,62.28,58.82,-3.46,53.51,49.02,-4.49,1
General Shafter Elementary School District,55.81,56.44,0.63,54.02,53.92,-0.1,0
General Shafter Elementary,55.81,56.44,0.63,54.02,53.92,-0.1,1
John Adams Academy - Lincoln,38.2,56.86,18.66,41.57,44.12,2.55,1
Helen Bernstein High,46.02,42.57,-3.45,23.01,24.75,1.74,1
Humanities and Arts (HARTS) Academy of Los Angeles,57.14,51.49,-5.65,18.1,19,0.9,1
Academy of the Canyons,98.99,100,1.01,83.84,94.06,10.22,1
Solana Vista Elementary,86.41,85.15,-1.26,83.65,81,-2.65,1
Los Angeles River at Sonia Sotomayor Learning Academies,55.1,51.49,-3.61,0,11,11,1
Redding Elementary,39.29,51.49,12.2,42.11,41.58,-0.53,1
